game_id,game_name,game_url,game_channel
405,Zombie Nation,https://www.youtube.com/watch?v=Vf3ZBHyGbcc,World of Longplays
144,Ginga Denshou  Galaxy Odyssey,https://www.youtube.com/watch?v=tOW9T8Afxpc,Japanspel
371,Vegas Dream,https://www.youtube.com/watch?v=OE6WGj9pySA,World of Longplays
236,Mickey Mousecapade,https://www.youtube.com/watch?v=VQcIYr8LaYc,World of Longplays
158,Hikarino Senshi Photon  Wakusei Zoldiasno Tatakai,,
290,Seicross,https://www.youtube.com/watch?v=5H5q6hWa0Go,World of Longplays
310,Star Wars  The Empire Strikes Back,https://www.youtube.com/watch?v=bxxEAgDHgKc,World of Longplays
214,Madoolano Tsubasa,https://www.youtube.com/watch?v=Py9Xy4krV_o,World of Longplays
168,Hydlide3  Yami Karano Houmonsha,https://www.youtube.com/watch?v=g2LiaCZayew,DE's Arcade
014,Argus,https://www.youtube.com/watch?v=OTLp349Xppw,World of Longplays
173,Ikki,https://www.youtube.com/watch?v=DN_YfjtzFC8,World of Longplays
306,Spelunker,https://www.youtube.com/watch?v=mxsfDNxqSKM,World of Longplays
298,Solar Jetman  Huntforthe Golden Warpship,https://www.youtube.com/watch?v=Kl8_kgVt_mA,Media Pool
402,Zeldano Densetsu,https://www.youtube.com/watch?v=m-DVpDh_tko,World of Longplays
394,Yoshi's Cookie,https://www.youtube.com/watch?v=P-DQ-bZmzBA,World of Longplays
178,Ironsword  Wizards amp  WarriorsII,https://www.youtube.com/watch?v=p80BHp3qfAs,World of Longplays
283,Robocop,https://www.youtube.com/watch?v=jt2hg1hlRb4,World of Longplays
028,Battle City,https://www.youtube.com/watch?v=DfixqYPonHw,World of Longplays
287,'S'C'A'T   Special Cybernetic Attack Team,,
049,Challenger,https://www.youtube.com/watch?v=Ec_-q4Kyme4,World of Longplays
005,Abadox  The DeadlyInner War,https://www.youtube.com/watch?v=lEpiGnTSuTE,World of Longplays
346,The Jungle Book,https://www.youtube.com/watch?v=ff3fjUCCVac,World of Longplays
089,Dragon WarriorII,https://www.youtube.com/watch?v=d4NsE4tpb6k,World of Longplays
073,Donkey Kong,https://www.youtube.com/watch?v=C_PrG8P5W8o,World of Longplays
050,Chaos World,https://www.youtube.com/watch?v=UYwXlq3j2Us,Runplays in HD
086,Dragon Fighter,https://www.youtube.com/watch?v=_Hxx5IDtUyU,World of Longplays
026,Batman  Returnof The Joker,https://www.youtube.com/watch?v=p1Ivxnpbd5Y,World of Longplays
339,Tetris,https://www.youtube.com/watch?v=-FAzHyXZPm0,World of Longplays
191,Kirby's Adventure,https://www.youtube.com/watch?v=rJXM4EPbPe0,World of Longplays
123,Fire nIce,https://www.youtube.com/watch?v=r7zvp9qRY0M,World of Longplays
023,Balloon Fight,https://www.youtube.com/watch?v=mtrW_WcO0_8,World of Longplays
246,Mother,https://www.youtube.com/watch?v=xTonuqUL_MU,NintendoComplete
360,Track amp  Field,https://www.youtube.com/watch?v=zYnVliJN-eo,NintendoComplete
390,Xevious,https://www.youtube.com/watch?v=Io2AADdwATY,World of Longplays
233,Metal Max,https://www.youtube.com/watch?v=X_UU8f7twa8,TASVideosChannel
358,Town amp  CountryII  Thrilla's Surfari,https://www.youtube.com/watch?v=0zwTEYnmKLg,World of Longplays
